2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
BM_MDSpan_OpenMP_MatVec/right                   350286542 ns    349450430 ns            2 bytes_per_second=213.251G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350057806 ns    349222508 ns            2 bytes_per_second=213.39G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right_mean              349521566 ns    348686896 ns           50 bytes_per_second=213.719G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right_median            349528038 ns    348693684 ns           50 bytes_per_second=213.714G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right_stddev               472835 ns       471662 ns           50 bytes_per_second=295.969M/s repeats=0
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993536493 ns    991165459 ns            1 bytes_per_second=75.1849G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995527446 ns    993150802 ns            1 bytes_per_second=75.0346G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994336702 ns    991963600 ns            1 bytes_per_second=75.1244G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           992944837 ns    990574988 ns            1 bytes_per_second=75.2297G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993075028 ns    990704950 ns            1 bytes_per_second=75.2199G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993212903 ns    990842634 ns            1 bytes_per_second=75.2094G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993178958 ns    990808763 ns            1 bytes_per_second=75.212G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993337501 ns    990966483 ns            1 bytes_per_second=75.2G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           992748637 ns    990367492 ns            1 bytes_per_second=75.2455G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993817111 ns    991445331 ns            1 bytes_per_second=75.1637G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           995967479 ns    993580138 ns            1 bytes_per_second=75.0022G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993167223 ns    990796789 ns            1 bytes_per_second=75.2129G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994777465 ns    992391129 ns            1 bytes_per_second=75.0921G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           993330844 ns    990959753 ns            1 bytes_per_second=75.2005G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Left/left           994387258 ns    992014042 ns            1 bytes_per_second=75.1206G/s repeats=1
